number,title,classification,timestamp,latitude,longitude,year,State,report_number,observed
75577,"Report 75577: Daylight sighting, 2 witnesses, outside Heflin 10 miles from GA border off I-20",Class A,2023-02-09T12:00:00Z,33.65175,-85.52335,2023,Alabama,75577.0,My husband and I heard strange sounds for 2 nights in February 2023 and laughed about how they sounded like the Bigfoot sounds on television shows. The 3rd night at dusk we were on our carport looking into the woods that border our property in Heflin (Cleburne County) Alabama. We saw what looked like Bigfoot peeking around a tree at us. We watched it for approximately 5 minutes as it appeared to look at us from the left then the right [of the tree trunk]. I dismissed it as being a distortion with the trees and wind. I turned to go into the house and looked back and distinctly saw what could only be Bigfoot running away. I yelled for my husband and he also saw it running away. It had our hearts beating wildly and the hair standing up on our arms. There was no mistaking what we saw!
50541,Report 50541: Motorist has a close sighting at dusk on AR-258 outside Bald Knob,Class A,2015-12-28T12:00:00Z,35.34737,-91.60007,2015,Arkansas,50541.0,"Around 5pm I was driving down hwy 258 to go to the store. We have had some recent flooding so I was driving slower than normal and watching for deer. Along the way I seen 2 different area of deer, one had 3 I could see the other there was at least 6. So on the way back from the store I knew to slow down in those areas just in case. In one area it is a rather sharp curve and I had seen the most deer there. As I came up on the curve I slowed down and suddenly something jumped out in front of the car!!! I'll call it a ""he from here out.""  He seem to have been running from the pine tree line and took a, what I would call a leap, out onto the road then he was gone. It was only 1 maybe two steps on the road it's self to clear it! I had slammed on the brakes and just sit there in awe wondering if I really seen what I had.  He was standing on two legs, lots of fur and what I would assume Is at least 8 foot tall. When he jumped in front of the car he was about a car length in front of me. He looked to have had a large fish in his hand. I know how that sounds but I swear it was a long fish. My husband said it may have been a stick but I'm a country girl and I know my fish! His ""fur"" was longer than what bear fur would be and although he was dark brown it had a reddish hue to it, the headlights gave s good look at the color as it leaped across.  There is a lake back behind where he was running from but he also jumped across to the right where those 6 plus deer were standing. We are going back at first light to see if he left foot prints. It's so muddy I'm hoping to see some.  We hear sounds out here almost nightly of what we describe as big foot sounds but I've honestly never thought they was out here. It is just sounds you can't describe, so we call it bigfoot sounds. I've had several friends and family hear them and one of them will not stay outside long out here because she's heard it so much. When I got home my husband came to the door to help bring stuff in and ask what was wrong, I said the deer are out bad and he asked if I hit one, I said no and he asked why was I shaking. I didn't realize my whole body was still shaking! LoL  I started telling him and I had tears rolling down, heart pounding and still shaking so bad. It really shook me up so much.  Not sure what else to say. It was one of the most amazing yet scariest things I've ever seen. I know I will not sleep tonight due to thinking about it and what exactly happened."
55410,"Report 55410: Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy",Class A,2015-11-26T12:00:00Z,35.255,-91.50301,2015,Arkansas,55410.0,Hi BFRO my sighting happen nine months ago near Searcy Arkansas I was hunting on Thanksgiving day. It was getting dark when I had a rock thrown over my head which freaked me out so I quickly turned around and lifted my shotgun and light and look up and down the tree line until I came up on a big oak and I saw what looked like a Sasquatch looking at me from behind the oak and it yelled at me with a low grunt and high pitch scream so I jumped and actually took a shot and hit the tree and it took off running back down the line towards a valley.
56108,Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree,Class A,2016-12-02T12:00:00Z,34.4125,-94.1125,2016,Arkansas,56108.0,"While south bound on US71, 8 miles north of the Ouachita River, observed a very tall, dark-colored, upright, bipedal creature crossing the highway and disappearing into the forest."
56735,Report 56735: Motorist has daytime sighting while driving past Joseph T. Robinson military base,Class A,2017-02-10T12:00:00Z,34.85324,-92.25454,2017,Arkansas,56735.0,"I was driving south on Batesville-Pike Rd on my way to work.  There are woods on both sides of this road with a tall chain link fence surrounding the woods on both sides.  The right hand side of the road is part of Camp Robinson.  Just past the fence there is a fire break before the tree line begins.  I had just driven around a sharp curve and due to the curve I was driving pretty slow.  There are lots of deer in this area and I am typically looking to see if any are close by.  There is a small creek bed in the curve with a large culvert running under the road connecting both sides of the street in that area.  Just past the curve I saw a tall, upright, black figure.  It was about 10 yards past the beginning of the treeline.  This creature was walking at an angle through the woods towards the creek.  I saw his right profile and the back of him. It appeared to have arms which were hanging at his side. There are lots of trees in this area so parts of his profile were blocked at times.  All of the leaves are off the trees at this so I had a pretty clear view.  He appeared to be 6-7 feet tall with black hair.  I'm not exactly sure what I saw but I know that it wasn't a deer.  This road has a pretty high amount of traffic in the morning and is highly guarded by Camp Robinson."
62625,Report 62625: Daylight sighting by two hikers at trailhead for Hideout Hollow in Buffalo National River.,Class A,2018-07-22T12:00:00Z,36.042,-93.1545,2018,Arkansas,62625.0,"My son's father and I came over from Oklahoma to the Buffalo National River area. I picked a waterfall out of my waterfall guide book that we were going to go find. We chose Hideout Hollow. When we pulled up to the parking area at the trailhead he turned off the car. Our windows were down because we were both smoking a cigarette. At that time I heard what sounded like if you were in the bathroom and heard your dog sniffing under the door.  I asked him in a whisper “Did you hear that?”  He said “That sounded like heavy machinery off in the distance.”  I let it go because I was just grateful he acknowledged the sound. We started to head down the trail when I realized we left our hiking sticks in the car, so I ran to get them myself. I had a slightly creeped out feeling but didn’t worry about it too much because I could still see him the whole time. Once I got back to him we started down the trail. We were just starting to round the corner that goes to the left when we heard a rustling in the trees to our left. We both stopped started and looked. We saw a huge figure running through the trees. I thought it was a man at first until I realized it was totally covered in hair, medium chocolate brown in color. I remember seeing it’s arms in front of it as if it was moving branches away to protect its face and its hands were black. I whispered “what was that?” He whispered back “I have no idea” I whispered “do you wanna go back?” And he nodded his head yes quickly. The direction it was going, it would’ve crossed the trail just around the curve. We turned around and started walking quickly back towards the car, both of us constantly looking over our shoulder behind us. I started asking questions to make sure we saw the same thing and neither of us forgot. We agreed it was on its hind legs, it was brown, it was a lot bigger than us and it was fast. Suddenly something flew fast over our heads (a rock?) hitting leaves and branches. I turned at looked at my son's dad with a “what the heck?” look on my face and his eyes were huge. We ran the rest of the way to the car. I had never been so scared and I wasn’t sure we would make it back to the car. We did and immediately he began second guessing what we had just seen, suggesting maybe it was a bear, a deer, an elk, etc. I asked him if he’s ever seen a bear run like that on it’s hind legs, or a deer or elk that dark running that smooth, he said no. We went to the Tea Kettle falls area but I was too scared and anxious to get out of the car again, convinced whatever it was could have easily covered ground by then. A Google search once we had service said only black bears live in Arkansas and I’m positive what we saw was brown. I didn’t notice any smells but since we were talking I also didn’t notice if it was quiet or if any birds or bugs were chirping. I know I have no desire to return to the area, I get sick to my stomach any time I think about it."
47536,Report 47536: Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.,Class A,2014-04-22T12:00:00Z,34.285,-110.11,2014,Arizona,47536.0,"On approximately April 22,14 I was at Fools Hollow Lake near Showlow, AZ I was out on the lake around the bend fishing where a storm was starting to roll in from the east as the storm was getting closer I was becoming more uncomfortable so I decided to start heading in. I was heading west when I spotted what I thought was a bear down on all four drinking water from the edge of the lake my approximate coordinates were 34.277763, -110.071018 and when I first spotted the creature its coordinates were 34.277126, -110.072090 off the point at the bend of the lake (the lake is a sideways ""L"" shape. As I got closer to the creature still thinking it was a large black bear I saw it stand up on its two hind legs and look towards me. The creature then turned and walked into the wooded area behind it where I lost sight of it. The small time frame in which I did see the creature walking depicted very similarly to the Patterson video this creature about 7-8' tall longer arm length reaching towards its mid thigh and walking with a very long stride and a hunch. The creature appeared to have a reddish brown color to it a few shades darker than an orangutan. After losing sight of the creature I was unable to catch it in my sight again. With the storm right behind me and lightning all around I did not want to be on the lake in a 12' aluminum boat so I headed back to shore."
69323,Report 69323: 20 miles east of Petrified Forest National Park -- motorhome driver and wife report daylight sighting from Interstate 40,Class A,2021-06-10T12:00:00Z,35.175,-109.25,2021,Arizona,69323.0,"Heading west on I-40 today at 0930 my wife and I saw a Bigfoot 100-150 yards from the hwy heading north. It was not running, but walking. It never looked at the hwy. It must have been 7-8 ft tall. It was thick, as in well built !  There was a rock outcropping behind it which made it very visible. There had to be other travelers who saw this also. We got a long look at it.  15-20 seconds. It was west of Houck AZ. GPS 35.179152, -109.465490 In Apache County, Arizona We were traveling in a 30 ft motorhome so I couldn’t stop. There was other cars behind me. A red motor coach towing a car. With a woman driving. I’d like to add that it was like seeing any other type of natural wildlife on the side of the hwy. They are real and I’m a believer now. It’s hard to explain it to even family. I’m 62 years old and have nothing to gain by reporting this, except the fact that they should be documented and protected at all cost. They are truly one of Gods creations."
46330,Report 46330: Daylight sighting by fisherman at Silverwood Lake near Hesperia,Class A,2014-08-20T12:00:00Z,34.28665,-117.3395,2014,California,46330.0,"Me and my family decided to go fishing at Silverwood lake and we got there around 1:30pm......i was fishing by the lake  and after a while of not catching anything i decided to put a 2nd rod about 100ft away from the 1st one..i went back to my 1st and around 3-4pm i decided to check on the 2nd rod and my 3&4 yr old daughters were following me so i sent them back with my wife.i thought they had gone back so i kept on walking towards the 2nd rod all of a sudden i heard leaves crunching to my left about 30 ft away from me i saw an ape like hairy looking creature with light brown hair....it had long arms that were swinging while it ran...it was also crouching a little to the front stood there in shock frozen for a while and realized my 4 year old daughter was behind me running back to my wife yelling ""MOM!MOM! There's a big animal!""then i went back to mu wife and told her what i saw....What amazed me was the speed it was running......"
48429,Report 48429: Travelers have a nighttime sighting of two hairy bipeds on Hwy. 180 near Grant Grove,Class A,2015-05-16T12:00:00Z,36.77763,-118.9604,2015,California,48429.0,"My wife and I were driving at about 9:30 p.m. Between Grant Grove and Cherry Gap on highway 180, when we came around a corner and our headlights lit up the straight away and next corner about 100 yards away and at the next corner we saw a large hairy figure walking upright as it stepped onto the road at an angle towards us and it took large strides and crossed the road and went down the embankment. It was very tall with dark hair. I have other observations about the sighting but I was afraid I couldn't get it all done in the aloted time."
63033,Report 63033: 1AM sighting of a Bigfoot on Hwy 199 near Patrick Creek,Class A,2019-03-15T12:00:00Z,41.89288,-123.7879,2019,California,63033.0,"New to the area in July 2005, I had been traveling from Crescent City, CA over the Pass (Hwy 199) weekly to Grants Pass and back and now in the Winter of 2006, it was 2X weekly.  My wife had not joined me and we were separated and I was attending counseling classes in Medford, OR. We had 5 children and I had my son living with me and he was back at home.  He was about 13. This particular night I was delayed on my return from Medford in the evening (usually arriving back in Crescent City around 1215 AM).  It is roughly an hour from the Tunnel to arrive in either Crescent City or Brookings, OR where I live now. I had stopped @ the Bug Station and rested (because I was delayed in my return) sitting with the heater on and engine idling and doors locked.  The little phone booth shack for Inspections there now, was not there yet.  After closing my eyes about 40 minutes, I'm guessing like 1225 AM, I was rested and awake to get going again back to Crescent City. I use my High Beams because it is so dark through there and everyone does because it is like signaling any opposing traffic of your whereabouts (everyone is usually polite to lower them upon the distance closing). I left the Tunnel and traveled down the hill and began the series of 'S' turns through the Pass (it's like a Canyon and runs adjacent to various sections of the Smith River). I was slowing through the 2nd 'S' turn and was watching my headlights and the shadows of the Roadside barriers as they were casting the shadows in the trees along the river. My truck was an older Chevy Dually with a small diesel and it was not a Powerhouse like the newer ones.  I was just cruising with the turns and taking my time.  It had a shell with an 8 foot bed and it was used by a retired couple to tow their trailer so it is kind of slow. The lights are low to the ground and when the high beams are on the go out further and up higher.  You can be seen by anyone else and they can see you from a ways off. As I rounded the turn and was approaching the end of the turn while watching my high beam shadows of the barricade up in the trees, I noticed this BIG Dark Shadow cast in the trees from my lights as I rolled along and my lights lit up a Giant Creature walking along the opposite side, going against traffic- facing away from me.  I said to myself, ""Oh shit!"" and was very excited.  The next part of the turn was coming up right away and I immediately thought to turn around to see it's face.  I knew it was Bigfoot (Sasquatch) and wanted to see his face but, I was too close still to maneuver around and go the other way and the turn was too shallow.  A thousand things went through my mind, ""what does he look like, don't turn around yet, what if he's hostile, he'll beat up my truck, don't turn around here...."" The logging trucks fly through there and my slow diesel would have to do a 3 point turn around or more and possibly get T-boned.  I was excited but, also a bit scared.  This was amazing. I kept telling myself ""Not yet.  Don't turn around here."" I kept looking for spots along the rode to turn around , even a little room, because I really wanted to see it's face.  The mix of it being late, a tight turning canyon, being afraid and also excited - I was bewildered a little..., ""What do I do?"" Almost immediately it was now the small FAST 'S' turns (very narrow) that lead to the Narrow passage (it is extremely tight through there and you can see the Tree hanging off the cliff above the roadway in the daytime..., and, this leads to the Resort @ Patricks Creek Lodge). As I passed I was still shaken up and thought what do you do, no one will believe me. As I passed Little Jones Creek I decided to forget about turning around because 1. I had really seen it 2. It was late and no one would believe me anyhow (I did not have a  regular cell phone- it was a cheap Android and off due to no reception- a real long Start-up time when turned on). So, heres what I saw and why I am documenting it. It was over 8' Tall..., I am 6'2"" and played Basketball since 4th grade even against 7' players in high school (I was a Leaper and could jump really high- I was 6' when I was 12- stopping my growth @ 15 years old @ 6'2"").  I could not accurately guess the weight but well over 4-500 pounds- possibly 600, 700 or even 800. He had no neck with a Pointed-type head buried between his MASSIVE shoulders..., Huge Shoulders.  I was going slow enough through the turn to see his fingers, toes and palms and foot bottoms as he walked but his hair was like a Llama- matted looking but long and, longer and shorter on different parts of his body.  He was Light Grey to Smokey Charcoal Grey with some Black deeper in beneath his hair closer to his body. The hair was long on his calves, forearms, hands and feet so I just saw tips of long fingers.  His feet bottoms were flipping TOUGH (I'll spell it TUFF) because they were Wide and what I would describe as Padded.  He walked swinging his harms down near his knees but above them and up right, not hunched over like an ape..., he was walking but just massive- those Shoulders.  I saw him a good 3 - 4 seconds. His Torso was Longer in proportion to his legs, his leg length of Thigh to Calves was not as long as his upper body- he was Huge. I went to work the next day and told a co-worker who had lived up here for over 20 years and an avid hunter and fisherman and he is also part Cherokee so , I know I could trust him.  He has spent countless hours Elk hunting, and bear hunting. He looked at me kind of silly and sluffed it off so I just shut up..., ""You've only been up here about 8 months and you've already seen Bigfoot?"" I know what I saw. After learning more and now hearing the term Gigantopithecus I looked it up and the Tropical is the one I saw.  Turn the animal around and that is exactly what was 'walking' down the roadway. Here's a link to the picture that convinced me to tell my experience: http://knobbythebigfoot.com/wp-content/uploads/2013/01/gigantopithecus_human.jpg I'm going to start looking for him soon.  If they are active @ night then I'm getting Thermal and Night Vision and want to try and get a video of him."
63078,Report 63078: Motorist daylight sighting between Redding and Lassen National Forest,Class A,2018-09-04T12:00:00Z,40.64289,-121.8214,2018,California,63078.0,"This happened on my way to work last summer a few days after the Delta Fire broke out and the Carr Fire was about to connect with Delta Fire. I was driving up to work from Redding. I worked at a school in Whitmore, California, in Shasta County, that was only accessible from a logging road. As I was going up the mountain, I rounded a corner and about 300 feet from me and maybe 400 feet front tintagel lane, a tall hairy creature, dark brown with some gray along the back shoulders, walking on two legs, crossed the road (which is wide enough for 2 cars to pass each other) in about 2 steps and then was in the woods. The hair on the back of my neck instantly stood up, and I was terrified. I had my 11 month old son in the back seat, and I drove to campus as quickly as I could. Several of my co-workers on that campus have had experiences as well."
65223,Report 65223: Swedish archaeologist has a clear daylight sighting during BFRO expedition near Harrison Lake,Class A,2016-09-12T12:00:00Z,49.40372,-121.8461,2016,British Columbia,,
65630,Report 65630: Daylight sighting by RV motorist just south of Nass River Bridge,Class A,2019-08-29T12:00:00Z,56.03458,-129.1523,2019,British Columbia,,
67413,Report 67413: Two motorists sighting of a sasquatch 4 miles south of Silverton BC on Hwy 6 near Slocan Lake,Class A,2020-12-25T12:00:00Z,49.89706,-117.3797,2020,British Columbia,,
45666,Report 45666: Two friends witness daytime road crossing near Conifer,Class A,2014-03-02T12:00:00Z,39.35503,-105.2527,2014,Colorado,45666.0,"A friend and I had just started heading home from a day trip in the conifer area of Colorado. As we drove down a stretch of road with approx 1/2 miles visibility, we ""both"" saw a creature run from one side of the highway to the other. This creature was tall considering we had been about 4-500 hundred feet away in the car. It effortlessly took a few long strides and cleared the entire width of the road. It was clearly upright on two feet, which at that point both of us looked at each other wide eyed, like we couldn't really register what we've just saw. Once we pulled off to the spot that it had crossed, we both took notice that there was about 5-6 mule deer that seemed to be completely undisturbed or spooked. We both realized that if this was a human, these deer would not have been anywhere close to the commotion. This was my very first and only sighting and I'm absolutely positive what we saw was authentic. The mix of weather and the time of day reduced the hiker and tourist traffic that day, so the thought of someone playing games isn't a viable conclusion to me. My friend is also convinced, since he was raised in New Hampshire and has had similar experiences. Since that day, I've been hooked! My friend and I are extreme outdoorsmen with many years of survival training, so we will be spending a lot more time in the area of our sighting soon. Just FYI, the exact area of our sighting was between Wellington Lake and scraggy mountain ranch. Thanks for taking the time to read this as I'm sure you get a ton of submissions."
46805,Report 46805: Hikers are startled by unusual sounds in Staunton State Park,Class A,2014-10-11T12:00:00Z,39.52701,-105.4147,2014,Colorado,46805.0,"My girlfriend and I were on a short hike 2 weeks ago in Staunton State Park, in between Bailey and Conifer, CO.  We chose a route which would have less people, as I'd hiked the other routes in the park previously.  After hiking uphill along a stream for about an hour, we saw a rocky outcropping and hiked off-trail briefly to check out the view. It was very quiet out with little wind movement.  There were no clouds in the sky and the temperature was in the mid-50s. Time of day was approximately noon MST. We sat in the sun on the outcropping for about 10 minutes very quietly, enjoying the view and the weather.  We looked down below the cliff and noticed a gentleman riding a mountain bike quickly up the path with headphones in.  As we watched, we heard a very low growl which sounded like a startled exhalation - ""Grrrrrrphhhh,"" followed immediately by a very different, higher-pitched ""Whoooooooop.""  The mountain biker seemed to hear nothing, as the headphones must have been too loud.  The two noises came from the same direction, approximately 30-40 yards below us on the outcropping through thick forest.  We were unable to see any animals, but the sounds were very clear and definitely came from the same animal.  The animal definitely sounded startled by the fast-moving biker. My girlfriend's eyes got very wide, and she whispered to me that she had no idea what kind of animal made that noise.  I responded that she'd say I'm crazy, but that only primates make the ""whoop"" noise.  We climbed down from the outcropping a few minutes later and searched for whatever made the noise, but were unable to find anything, nor heard any more sounds.  We definitely did not feel threatened in any way."
63153,Report 63153: Daylight sighting by hikers at Mayflower Gulch outside Leadville,Class A,2019-07-25T12:00:00Z,39.41087,-106.1444,2019,Colorado,63153.0,"On Thursday July 25 my girlfriend and I we hiking in Mayflower Basin south of Co 91. We were up in the basin and Helen had gone ahead to the foot of the basin. I was about 100 yds off the three miner log cabin remnants sitting on a rock enjoying peanuts and water when, looking west, I saw a very large brown biped approach the snow wall / cornice and seek to climb it. The biped was unable to climb up over 20 feet, moved back down laterally to its right, and then down to the ground off the snow. It then walked on two legs very briskly to the right, subsequently out of my view. About 4-5 minutes later a hiker with his dog came walking down the trail. And I later saw this brown biped from time to time walking above the snow cornice southbound. Did not see it again. Helen returned to me, we discussed, then walked down to the locked gated prohibiting cars into the basin to talk with the hiker. His name was Robbie, his dog, Dallas. We agreed to scale up the trail to where I had seen the brown biped. Helen took longer, but Robbie and I reached the area, found hand prints in the snow in an arch, one print lower with three big fingers and one thumb. Foot prints were not descriptive of toes, arch heel.  We took Iphone photos and will share if interested. We then traversed to right, north, on difficult terrain. That is quite slanted where the biped moved quickly and easily. No further sighting. This was now about 2:30 pm when Inhad seen the biped about 1:45 pm. Returned back to dirt road and the parking lot by bushwacking through forest."
48732,Report 48732:  Large hairy biped seen chasing deer behind a home at dusk near Bridgewater,Class A,2016-05-19T12:00:00Z,41.49472,-73.36136,2016,Connecticut,48732.0,"It was early evening and our golden retriever was barking loudly. This was not unusual as there are many deer behind our house. Our back yard consists of a large twenty acre field leading into a wooded area. When I went outside to call the dog in and I saw six or seven deer running like heck like they were being chased, I looked behind them and in the tall grass a large hairy animal was chasing after them running on two legs towering above the grass which was around four feet tall at the time. We see occasional black bears but this was like no bear I had seen before. I am convinced it was a squatch. Then later in the season I was outside at around nine o-clock with a friend we had a small fire going. The coyotes were yipping in the far corner and in the opposite back corner there was a large screech like sound and the coyotes went dead silent."
60892,"Report 60892: Afternoon sighting by motorist, Wilbur Cross Parkway, approx midway between Berlin and Woodbridge",Class A,2018-08-04T12:00:00Z,41.42178,-72.85863,2018,Connecticut,60892.0,"On Saturday afternoon on August 4, 2018 at approximately 2pm my boyfriend and I were driving from Berlin to Woodbridge about halfway there I was staring out the passenger side window as my boyfriend was driving. In a clearing of the woods I saw what looked to be an extremely tall man with shoulder length dirty blonde hair. As I focused in I realized this 8 ft tall creature’s arms, chest and legs were also covered in the same long dirty blonde hair. He was walking north with the back of his hands facing forward, swaying like a gorilla as he walked on two legs. As we passed him I jumped out of my seat and turned around and kept my eyes locked on him as long as I could. My boyfriend asked me why I did that and I told him, “I think just saw a Sasquatch. I just saw the weirdest thing and it was not a human.” And went on to describe what I saw."
